observation_date,VIXCLS
2009/1/2,34.529998779296875
2009/1/5,35.83000183105469
2009/1/6,35.400001525878906
2009/1/7,39.34000015258789
2009/1/8,38.709999084472656
2009/1/9,39.060001373291016
2009/1/12,41.63999938964844
2009/1/13,39.84000015258789
2009/1/14,44.279998779296875
2009/1/15,44.95000076293945
2009/1/16,41.56999969482422
2009/1/20,50.189998626708984
2009/1/21,41.099998474121094
2009/1/22,41.54999923706055
2009/1/23,41.650001525878906
2009/1/26,40.16999816894531
2009/1/27,37.97999954223633
2009/1/28,34.790000915527344
2009/1/29,37.790000915527344
2009/1/30,39.58000183105469
2009/2/2,40.13999938964844
2009/2/3,37.63999938964844
2009/2/4,37.99000168
2009/2/5,38.13999938964844
2009/2/6,37.560001373291016
2009/2/9,38.029998779296875
2009/2/10,41.27000045776367
2009/2/11,39.25999832
2009/2/12,37.130001068115234
2009/2/13,38.150001525878906
2009/2/17,43.349998474121094
2009/2/18,42.720001220703125
2009/2/19,41.720001220703125
2009/2/20,43.619998931884766
2009/2/23,47.02000045776367
2009/2/24,40.61000061035156
2009/2/25,40.20000076293945
2009/2/26,40.41999816894531
2009/2/27,41.45000076293945
2009/3/2,46.81999969482422
2009/3/3,45.75999832
2009/3/4,42.15999984741211
2009/3/5,45.400001525878906
2009/3/6,43.849998474121094
2009/3/9,45
2009/3/10,39.400001525878906
2009/3/11,39.189998626708984
2009/3/12,36.66999816894531
2009/3/13,37.79999923706055
2009/3/16,39.09000015258789
2009/3/17,36.369998931884766
2009/3/18,36.5
2009/3/19,39.04999923706055
2009/3/20,41.43000030517578
2009/3/23,38.09000015258789
2009/3/24,38.95000076293945
2009/3/25,37.45000076293945
2009/3/26,36.060001373291016
2009/3/27,36.79999923706055
2009/3/30,40.650001525878906
2009/3/31,39.900001525878906
2009/4/1,37.619998931884766
2009/4/2,37.83000183105469
2009/4/3,36.18000030517578
2009/4/6,36.77000045776367
2009/4/7,36.619998931884766
2009/4/8,35.29999923706055
2009/4/9,33.31999969482422
2009/4/13,34.279998779296875
2009/4/14,34.31999969482422
2009/4/15,33.189998626708984
2009/4/16,32.16999816894531
2009/4/17,31.09000015258789
2009/4/20,35.54999923706055
2009/4/21,33.720001220703125
2009/4/22,34.849998474121094
2009/4/23,33.59000015258789
2009/4/24,33.130001068115234
2009/4/27,34.31999969482422
2009/4/28,34.279998779296875
2009/4/29,32.58000183105469
2009/4/30,32.720001220703125
2009/5/1,31.579999923706055
2009/5/4,30.969999313354492
2009/5/5,30.299999237060547
2009/5/6,29.260000228881836
2009/5/7,30.190000534057617
2009/5/8,28.649999618530273
2009/5/11,28.979999542236328
2009/5/12,27.84000015258789
2009/5/13,29.440000534057617
2009/5/14,28.010000228881836
2009/5/15,28.799999237060547
2009/5/18,26.290000915527344
2009/5/19,25.280000686645508
2009/5/20,25.709999084472656
2009/5/21,27.68000030517578
2009/5/22,29.09000015258789
2009/5/26,27.290000915527344
2009/5/27,28.709999084472656
2009/5/28,28.149999618530273
2009/5/29,25.329999923706055
2009/6/1,26.93000030517578
2009/6/2,26.62999916
2009/6/3,27.34000015258789
2009/6/4,26.920000076293945
2009/6/5,26.56999969482422
2009/6/8,26.540000915527344
2009/6/9,25.290000915527344
2009/6/10,25.290000915527344
2009/6/11,25.389999389648438
2009/6/12,25.12999916
2009/6/15,27.950000762939453
2009/6/16,28.90999984741211
2009/6/17,28.059999465942383
2009/6/18,26.829999923706055
2009/6/19,24.989999771118164
2009/6/22,28.25
2009/6/23,27.59000015258789
2009/6/24,26.239999771118164
2009/6/25,23.920000076293945
2009/6/26,23.600000381469727
2009/6/29,22.690000534057617
2009/6/30,23.469999313354492
2009/7/1,23.549999237060547
2009/7/2,25.09000015258789
2009/7/6,25.75
2009/7/7,27.479999542236328
2009/7/8,27.940000534057617
2009/7/9,26.690000534057617
2009/7/10,26.010000228881836
2009/7/13,23.59000015258789
2009/7/14,23.06999969482422
2009/7/15,23.139999389648438
2009/7/16,22
2009/7/17,21.329999923706055
2009/7/20,21.190000534057617
2009/7/21,20.639999389648438
2009/7/22,20.719999313354492
2009/7/23,21.020000457763672
2009/7/24,20.459999084472656
2009/7/27,21.770000457763672
2009/7/28,22.260000228881836
2009/7/29,22.709999084472656
2009/7/30,22.610000610351562
2009/7/31,22.989999771118164
2009/8/3,22.87000084
2009/8/4,22.200000762939453
2009/8/5,22.059999465942383
2009/8/6,23.049999237060547
2009/8/7,22.260000228881836
